lat,lon,prefecture,city
34.24559,135.78095,奈良県,五條市
34.248615,134.567408,徳島県,鳴門市
34.256053,132.871276,広島県,大崎上島町
34.262448,135.381163,和歌山県,紀の川市
34.266217,134.359784,香川県,東かがわ市
34.269005,135.146744,和歌山県,和歌山市
34.26905,135.58578,和歌山県,九度山町
34.273218,136.399658,三重県,大紀町
34.278982,135.3041,和歌山県,岩出市
34.281826,134.059832,香川県,高松市
34.283903,134.25748,香川県,さぬき市
34.288483,136.009899,奈良県,川上村
34.302443,133.678478,香川県,多度津町
34.307843,135.865879,奈良県,黒滝村
34.312143,136.322834,三重県,大台町
34.312882,135.603918,和歌山県,橋本市
34.313282,133.820692,香川県,宇多津町
34.324895,133.753137,香川県,丸亀市
34.325585,132.505817,広島県,坂町
34.327535,130.78519,山口県,下関市
34.328582,134.80055,兵庫県,洲本市
34.333564,135.818706,奈良県,下市町
34.342867,132.591292,広島県,熊野町
34.346336,132.455183,広島県,坂町南区
34.347246,133.868724,香川県,坂出市
34.348149,135.117256,大阪府,岬町
34.348208,135.234424,大阪府,阪南市
34.357518,132.897605,広島県,竹原市
34.362595,139.258582,東京都,新島村
34.364612,132.548449,広島県,海田町
34.382242,132.445287,広島県,広島市中区
34.383094,132.417361,広島県,広島市西区
34.384947,132.586856,広島県,熊野町安芸区
34.387936,135.36195,大阪府,熊取町
34.387947,136.582483,三重県,度会町
34.393051,135.898769,奈良県,吉野町
34.393499,131.909321,島根県,吉賀町
34.398032,132.518147,広島県,府中町
34.399404,132.201655,広島県,廿日市市
34.400003,129.370575,長崎県,対馬市
34.403022,135.798959,奈良県,大淀町
34.408039,135.574379,大阪府,河内長野市
34.408728,133.163542,広島県,尾道市
34.410757,135.205029,大阪府,泉南市
34.411838,136.016291,奈良県,東吉野村
34.425894,135.358612,大阪府,貝塚市
34.426327,132.51701,広島県,府中町東区
34.42784,133.531661,岡山県,笠岡市
34.431355,135.470983,大阪府,和泉市
34.433491,135.372032,大阪府,岸和田市
34.433835,135.718265,奈良県,御所市
34.436076,135.644554,大阪府,千早赤阪村
34.436336,135.276476,大阪府,泉佐野市
34.436414,132.296732,広島県,廿日市市佐伯区
34.437533,132.760657,広島県,東広島市
34.441995,135.80303,奈良県,高取町
34.448754,133.004947,広島県,三原市
34.451785,132.437321,広島県,広島市
34.455833,135.219049,大阪府,田尻町
34.460304,133.995418,香川県,直島町
34.462216,135.824802,奈良県,明日香村
34.468602,137.026151,三重県,鳥羽市
34.469558,136.50115,三重県,多気町
34.471192,132.409607,広島県,広島市安佐南区
34.472121,135.505238,大阪府,大阪狭山市南区
34.472155,133.353986,広島県,福山市
34.480604,135.648628,大阪府,河南町
34.482124,136.15514,奈良県,御杖村
34.482988,136.624441,三重県,玉城町
34.484195,136.345719,三重県,松阪市
34.48587,135.592824,大阪府,富田林市
34.491731,135.37828,大阪府,忠岡町
34.492729,134.370553,香川県,小豆島町
